job_title,salary_usd,experience_level,employment_type,company_location,remote_ratio,required_skills,education_required,years_experience,industry,company_size,posting_date,year,company_name
Computer Vision Engineer,163508,Executive,Part-time,South Korea,No remote,"Scala, R, Deep Learning, Azure",PhD,17,Energy,Small(<50),22-02-2025,2025,Smart Analytics
Principal Data Scientist,159674,Mid,Contract,Switzerland,Fully remote,"Scala, SQL, Python, Tableau",Master,2,Retail,Large(>250),08-05-2024,2024,Autonomous Tech
Machine Learning Engineer,72337,Entry,Freelance,Norway,Hybrid,"Git, Spark, Docker, TensorFlow, Linux",Master,0,Technology,Small(<50),23-08-2024,2024,Smart Analytics
AI Research Scientist,168105,Executive,Contract,Germany,Fully remote,"Kubernetes, Scala, Python",PhD,10,Telecommunications,Large(>250),12-01-2024,2024,Algorithmic Solutions
Data Scientist,157793,Senior,Part-time,United States,No remote,"Docker, SQL, Computer Vision, Java",Bachelor,7,Telecommunications,Large(>250),20-01-2024,2024,Quantum Computing Inc
Machine Learning Engineer,186928,Senior,Freelance,Norway,Fully remote,"Computer Vision, Python, Kubernetes, AWS",Master,9,Retail,Large(>250),01-11-2024,2024,AI Innovations
AI Specialist,97344,Mid,Part-time,Ireland,No remote,"Docker, Python, Computer Vision",Bachelor,2,Finance,Small(<50),02-12-2024,2024,Cognitive Computing
AI Product Manager,47190,Entry,Contract,Germany,No remote,"Linux, TensorFlow, GCP, AWS, Deep Learning",Associate,0,Finance,Small(<50),16-12-2024,2024,Neural Networks Co
Data Scientist,64670,Entry,Part-time,Canada,Hybrid,"Git, Azure, SQL, Mathematics",PhD,1,Consulting,Mid(50-250),04-10-2024,2024,Machine Intelligence Group
AI Architect,126076,Senior,Contract,Finland,Hybrid,"Data Visualization, Python, Linux, Statistics, TensorFlow",PhD,8,Media,Small(<50),14-05-2024,2024,Predictive Systems
Principal Data Scientist,98433,Mid,Contract,Australia,Hybrid,"Linux, PyTorch, AWS, Deep Learning, MLOps",Master,2,Media,Mid(50-250),10-02-2024,2024,Machine Intelligence Group
Robotics Engineer,31915,Entry,Contract,China,Fully remote,"Statistics, Spark, Kubernetes, R, SQL",Bachelor,0,Gaming,Large(>250),31-08-2024,2024,Neural Networks Co
Data Scientist,175657,Senior,Part-time,Norway,Fully remote,"Data Visualization, Spark, MLOps",Bachelor,5,Government,Small(<50),07-10-2024,2024,Digital Transformation LLC
Deep Learning Engineer,200463,Executive,Freelance,Israel,No remote,"Scala, Hadoop, Deep Learning, AWS",PhD,19,Media,Mid(50-250),17-10-2024,2024,Quantum Computing Inc
Robotics Engineer,109629,Senior,Contract,South Korea,Fully remote,"MLOps, Kubernetes, GCP",Associate,6,Finance,Small(<50),12-04-2024,2024,DataVision Ltd
NLP Engineer,80126,Entry,Full-time,Finland,Fully remote,"AWS, Tableau, Linux, Data Visualization",Master,0,Automotive,Large(>250),31-01-2024,2024,Future Systems
Machine Learning Engineer,91862,Entry,Full-time,United Kingdom,Fully remote,"TensorFlow, NLP, Git",PhD,0,Healthcare,Large(>250),10-07-2024,2024,DeepTech Ventures
Data Scientist,102655,Mid,Contract,Japan,Hybrid,"Kubernetes, R, PyTorch, GCP, Java",Master,4,Retail,Large(>250),12-01-2025,2025,Cloud AI Solutions
Data Scientist,147186,Senior,Contract,Australia,Hybrid,"TensorFlow, Mathematics, Kubernetes, SQL, Statistics",PhD,5,Telecommunications,Mid(50-250),26-04-2025,2025,DataVision Ltd
Research Scientist,184149,Executive,Full-time,Ireland,No remote,"GCP, SQL, Data Visualization, Mathematics",Bachelor,14,Automotive,Small(<50),31-03-2024,2024,Digital Transformation LLC
Computer Vision Engineer,273048,Executive,Freelance,Norway,Hybrid,"Python, Mathematics, Data Visualization, Computer Vision",Master,16,Energy,Mid(50-250),15-12-2024,2024,Cloud AI Solutions
NLP Engineer,105192,Mid,Part-time,United Kingdom,Hybrid,"Kubernetes, TensorFlow, Hadoop, Linux",Master,2,Media,Small(<50),21-05-2024,2024,DataVision Ltd
Deep Learning Engineer,37406,Mid,Part-time,India,No remote,"Git, Java, Linux, Python",Master,4,Education,Mid(50-250),27-01-2024,2024,DataVision Ltd
AI Specialist,27619,Entry,Full-time,India,No remote,"Tableau, Python, R, Kubernetes",Bachelor,0,Government,Mid(50-250),10-08-2024,2024,Smart Analytics
Machine Learning Researcher,94921,Senior,Freelance,Ireland,No remote,"Deep Learning, Spark, Docker",PhD,8,Media,Small(<50),04-04-2024,2024,Quantum Computing Inc
Data Scientist,199186,Executive,Full-time,Israel,No remote,"Docker, Kubernetes, Hadoop, Java",Master,13,Automotive,Mid(50-250),26-05-2024,2024,Neural Networks Co
ML Ops Engineer,118265,Senior,Part-time,Singapore,Hybrid,"Kubernetes, R, PyTorch, Git",PhD,8,Energy,Mid(50-250),31-08-2024,2024,Advanced Robotics
Computer Vision Engineer,75240,Entry,Contract,Singapore,Fully remote,"Azure, Kubernetes, NLP, Computer Vision",Bachelor,1,Technology,Large(>250),15-05-2024,2024,AI Innovations
Research Scientist,65569,Entry,Freelance,Israel,Hybrid,"GCP, Java, MLOps",PhD,1,Gaming,Mid(50-250),16-04-2024,2024,Predictive Systems
Data Scientist,205247,Executive,Freelance,Denmark,No remote,"Docker, Kubernetes, Git, SQL",PhD,17,Real Estate,Small(<50),16-01-2024,2024,Digital Transformation LLC
Data Scientist,37999,Mid,Contract,India,Fully remote,"Statistics, GCP, MLOps",PhD,4,Government,Large(>250),20-12-2024,2024,Quantum Computing Inc
Data Engineer,136750,Senior,Contract,Japan,Fully remote,"Tableau, Linux, TensorFlow, MLOps",Associate,7,Consulting,Mid(50-250),17-03-2024,2024,Neural Networks Co
AI Product Manager,55482,Entry,Freelance,Finland,Fully remote,"Python, Data Visualization, TensorFlow, Deep Learning",Associate,1,Consulting,Mid(50-250),28-02-2025,2025,DeepTech Ventures
Principal Data Scientist,126580,Mid,Contract,Australia,No remote,"Data Visualization, GCP, Computer Vision, Kubernetes",Bachelor,2,Consulting,Large(>250),24-04-2025,2025,AI Innovations
Deep Learning Engineer,45523,Mid,Part-time,China,No remote,"Spark, GCP, Hadoop, SQL",PhD,2,Retail,Large(>250),11-08-2024,2024,Future Systems
Computer Vision Engineer,69117,Mid,Part-time,Finland,No remote,"Deep Learning, AWS, Docker",Master,4,Finance,Small(<50),02-03-2025,2025,Algorithmic Solutions
Robotics Engineer,147154,Mid,Part-time,United States,No remote,"MLOps, Scala, SQL, PyTorch, NLP",Master,3,Education,Large(>250),07-03-2025,2025,Advanced Robotics
Computer Vision Engineer,129411,Senior,Contract,Germany,No remote,"Azure, SQL, NLP, Deep Learning",Associate,6,Retail,Mid(50-250),02-04-2024,2024,Cloud AI Solutions
NLP Engineer,103365,Senior,Contract,Australia,No remote,"Hadoop, Statistics, GCP, MLOps, Spark",PhD,7,Education,Small(<50),17-07-2024,2024,TechCorp Inc
Machine Learning Researcher,155656,Senior,Freelance,United States,Hybrid,"Deep Learning, R, PyTorch, Docker, Linux",Master,8,Transportation,Large(>250),23-02-2025,2025,Cloud AI Solutions
Deep Learning Engineer,60372,Entry,Part-time,Netherlands,Fully remote,"SQL, GCP, Java",Bachelor,1,Gaming,Mid(50-250),14-01-2024,2024,TechCorp Inc
Machine Learning Engineer,90624,Senior,Full-time,Austria,Hybrid,"GCP, Hadoop, PyTorch",Associate,8,Retail,Small(<50),24-02-2025,2025,Autonomous Tech
Principal Data Scientist,28839,Entry,Contract,China,Hybrid,"Scala, Python, SQL",Master,1,Real Estate,Small(<50),20-08-2024,2024,Cognitive Computing
Data Analyst,95397,Mid,Full-time,Germany,Hybrid,"Deep Learning, R, Spark",Bachelor,3,Healthcare,Small(<50),06-02-2024,2024,DataVision Ltd
ML Ops Engineer,265922,Executive,Contract,Japan,No remote,"GCP, Tableau, AWS, SQL",Associate,16,Energy,Large(>250),16-03-2024,2024,Predictive Systems
NLP Engineer,123952,Mid,Contract,Switzerland,Hybrid,"PyTorch, Java, Git, Computer Vision",Bachelor,2,Automotive,Mid(50-250),14-05-2024,2024,Cloud AI Solutions
Data Scientist,243390,Executive,Full-time,Germany,Fully remote,"Linux, PyTorch, Tableau, Java, Git",Bachelor,12,Automotive,Mid(50-250),01-12-2024,2024,Cognitive Computing
Autonomous Systems Engineer,86886,Mid,Full-time,Japan,Fully remote,"Kubernetes, Tableau, Azure, NLP, Python",Associate,2,Energy,Mid(50-250),23-12-2024,2024,Machine Intelligence Group
Machine Learning Researcher,86470,Entry,Full-time,Switzerland,No remote,"Python, Java, GCP, NLP",PhD,1,Education,Small(<50),30-11-2024,2024,Cloud AI Solutions
Principal Data Scientist,128696,Senior,Part-time,France,No remote,"Git, Linux, Data Visualization, PyTorch",Associate,6,Energy,Large(>250),05-10-2024,2024,Autonomous Tech
Data Analyst,108456,Mid,Contract,United States,No remote,"TensorFlow, Deep Learning, Kubernetes, Python",Bachelor,2,Retail,Large(>250),19-05-2024,2024,Machine Intelligence Group
Data Engineer,114242,Senior,Full-time,Ireland,No remote,"Statistics, R, Scala",Master,9,Retail,Mid(50-250),03-08-2024,2024,Smart Analytics
Data Engineer,94224,Mid,Contract,Finland,No remote,"Spark, Scala, Computer Vision, Mathematics",PhD,2,Technology,Large(>250),10-10-2024,2024,TechCorp Inc
Data Engineer,277483,Executive,Freelance,Singapore,Hybrid,"MLOps, Spark, Data Visualization, Hadoop",Bachelor,19,Finance,Large(>250),30-07-2024,2024,Cognitive Computing
Computer Vision Engineer,40704,Mid,Full-time,China,Hybrid,"NLP, PyTorch, Tableau, Git, Docker",PhD,2,Media,Mid(50-250),06-03-2024,2024,TechCorp Inc
Machine Learning Engineer,93238,Entry,Contract,Netherlands,Fully remote,"AWS, Statistics, Hadoop",PhD,1,Finance,Large(>250),20-03-2024,2024,DeepTech Ventures
Machine Learning Researcher,196588,Senior,Full-time,Switzerland,No remote,"Data Visualization, Docker, R",Associate,9,Energy,Mid(50-250),03-07-2024,2024,Autonomous Tech
AI Software Engineer,90440,Mid,Part-time,United Kingdom,Hybrid,"PyTorch, AWS, Computer Vision, NLP, GCP",Master,2,Energy,Mid(50-250),19-03-2025,2025,Neural Networks Co
AI Consultant,150604,Mid,Full-time,Denmark,Fully remote,"Hadoop, Mathematics, GCP, Kubernetes, MLOps",Associate,2,Gaming,Large(>250),03-09-2024,2024,Advanced Robotics
ML Ops Engineer,58876,Senior,Part-time,India,No remote,"MLOps, GCP, SQL",Master,8,Government,Large(>250),02-11-2024,2024,AI Innovations
AI Product Manager,28266,Mid,Contract,India,Fully remote,"NLP, Data Visualization, Tableau, Mathematics, MLOps",Master,2,Telecommunications,Small(<50),26-01-2025,2025,TechCorp Inc
Research Scientist,83652,Mid,Freelance,Canada,Fully remote,"Azure, Tableau, Linux, AWS, Docker",Master,3,Energy,Mid(50-250),01-02-2025,2025,AI Innovations
AI Specialist,69368,Entry,Full-time,Norway,Hybrid,"Spark, Python, Git, Azure",Associate,1,Manufacturing,Small(<50),16-05-2024,2024,Autonomous Tech
Head of AI,130656,Senior,Part-time,Israel,Hybrid,"SQL, Mathematics, TensorFlow",PhD,9,Government,Large(>250),21-02-2025,2025,Autonomous Tech
AI Architect,168459,Senior,Part-time,Germany,No remote,"Spark, Hadoop, Scala, MLOps, R",Associate,6,Telecommunications,Large(>250),07-04-2024,2024,Advanced Robotics
Data Scientist,72394,Mid,Contract,Australia,Fully remote,"Deep Learning, GCP, SQL, Python",Master,4,Technology,Small(<50),06-08-2024,2024,Predictive Systems
Principal Data Scientist,37641,Mid,Freelance,India,No remote,"Python, Hadoop, SQL, Git, AWS",Master,2,Technology,Mid(50-250),16-01-2025,2025,Smart Analytics
Deep Learning Engineer,109311,Mid,Freelance,Denmark,Hybrid,"TensorFlow, Hadoop, Python, Linux",Bachelor,2,Government,Small(<50),13-09-2024,2024,Algorithmic Solutions
Machine Learning Engineer,237727,Executive,Freelance,Denmark,Hybrid,"Python, NLP, Data Visualization",Bachelor,16,Telecommunications,Mid(50-250),15-03-2024,2024,Advanced Robotics
AI Consultant,138467,Executive,Full-time,Sweden,No remote,"Python, Hadoop, SQL, Computer Vision",Associate,19,Technology,Mid(50-250),21-07-2024,2024,Digital Transformation LLC
Head of AI,125705,Senior,Freelance,France,Fully remote,"PyTorch, Python, Scala",Bachelor,9,Energy,Mid(50-250),06-11-2024,2024,AI Innovations
ML Ops Engineer,107784,Mid,Part-time,Norway,No remote,"SQL, Statistics, Data Visualization, Python, Mathematics",Bachelor,4,Technology,Large(>250),07-07-2024,2024,TechCorp Inc
Computer Vision Engineer,49527,Senior,Contract,India,No remote,"Python, Scala, AWS",Master,6,Media,Mid(50-250),03-11-2024,2024,Advanced Robotics
AI Software Engineer,73779,Entry,Part-time,Japan,No remote,"Python, Azure, Statistics",Bachelor,1,Transportation,Small(<50),05-07-2024,2024,Digital Transformation LLC
AI Consultant,98422,Mid,Freelance,United States,Hybrid,"SQL, GCP, Statistics, Hadoop, Linux",PhD,3,Real Estate,Large(>250),18-06-2024,2024,Algorithmic Solutions
Principal Data Scientist,110310,Mid,Part-time,Singapore,Fully remote,"PyTorch, Deep Learning, Spark",Associate,4,Retail,Large(>250),28-02-2025,2025,Future Systems
ML Ops Engineer,167443,Executive,Freelance,Austria,Hybrid,"R, Scala, NLP",Master,19,Transportation,Mid(50-250),25-12-2024,2024,Cloud AI Solutions
Machine Learning Engineer,135296,Senior,Full-time,Singapore,No remote,"Spark, Kubernetes, Computer Vision",Associate,7,Media,Small(<50),18-02-2024,2024,TechCorp Inc
Data Scientist,101322,Mid,Contract,Singapore,Fully remote,"TensorFlow, Data Visualization, Git",Master,4,Technology,Large(>250),30-10-2024,2024,AI Innovations
AI Consultant,81204,Mid,Freelance,Australia,Fully remote,"Python, Hadoop, Linux, NLP, Statistics",PhD,2,Education,Small(<50),07-01-2024,2024,DataVision Ltd
Machine Learning Engineer,216778,Executive,Contract,United States,Fully remote,"AWS, Azure, MLOps",Bachelor,12,Consulting,Mid(50-250),22-06-2024,2024,DeepTech Ventures
Computer Vision Engineer,176928,Executive,Freelance,Australia,Fully remote,"GCP, Git, Hadoop",PhD,14,Real Estate,Mid(50-250),29-11-2024,2024,Neural Networks Co
Research Scientist,76676,Senior,Part-time,South Korea,No remote,"Java, SQL, MLOps, Mathematics, Hadoop",PhD,7,Retail,Small(<50),27-05-2024,2024,Smart Analytics
Data Analyst,167099,Senior,Part-time,United States,No remote,"R, Git, MLOps",PhD,7,Energy,Large(>250),03-07-2024,2024,Cognitive Computing
ML Ops Engineer,89898,Senior,Contract,South Korea,Hybrid,"SQL, Azure, Scala, MLOps, Python",Master,5,Transportation,Mid(50-250),11-03-2025,2025,Quantum Computing Inc
Robotics Engineer,123146,Senior,Part-time,South Korea,Hybrid,"Spark, Python, Linux, Statistics, Tableau",Master,9,Technology,Mid(50-250),25-03-2024,2024,Predictive Systems
ML Ops Engineer,244148,Executive,Full-time,Denmark,Hybrid,"AWS, Python, TensorFlow, PyTorch, Scala",PhD,16,Transportation,Large(>250),29-12-2024,2024,AI Innovations
Machine Learning Researcher,212784,Executive,Full-time,Switzerland,Hybrid,"NLP, Linux, Python, R, TensorFlow",Bachelor,14,Manufacturing,Small(<50),25-02-2025,2025,Predictive Systems
Principal Data Scientist,206443,Executive,Part-time,Australia,No remote,"Python, Kubernetes, GCP",Master,15,Gaming,Mid(50-250),27-04-2024,2024,Future Systems
ML Ops Engineer,55944,Entry,Full-time,Japan,Hybrid,"MLOps, Java, R",Bachelor,0,Technology,Mid(50-250),28-04-2024,2024,Machine Intelligence Group
Autonomous Systems Engineer,71392,Entry,Freelance,Sweden,Hybrid,"Linux, Statistics, SQL, Git, Mathematics",Bachelor,1,Gaming,Small(<50),05-05-2024,2024,Cloud AI Solutions
Principal Data Scientist,126751,Senior,Part-time,Canada,No remote,"Git, Java, R, GCP, SQL",Master,8,Technology,Mid(50-250),24-01-2025,2025,Predictive Systems
AI Specialist,99185,Senior,Contract,Finland,Hybrid,"GCP, Python, Linux, SQL",Bachelor,5,Retail,Mid(50-250),20-01-2024,2024,Cognitive Computing
Machine Learning Engineer,218350,Executive,Contract,Australia,No remote,"PyTorch, Tableau, TensorFlow",Master,16,Media,Small(<50),28-10-2024,2024,Algorithmic Solutions
Principal Data Scientist,123624,Mid,Part-time,Singapore,Fully remote,"PyTorch, Scala, Computer Vision, Spark",Associate,3,Automotive,Large(>250),25-08-2024,2024,Cloud AI Solutions
AI Research Scientist,150816,Executive,Part-time,Ireland,Hybrid,"Python, AWS, Computer Vision, Docker, Data Visualization",PhD,18,Technology,Small(<50),24-10-2024,2024,TechCorp Inc
Computer Vision Engineer,248052,Executive,Part-time,Canada,No remote,"Docker, Scala, Data Visualization, Azure, Spark",Master,15,Real Estate,Large(>250),08-08-2024,2024,Predictive Systems
Research Scientist,174068,Senior,Contract,Singapore,Fully remote,"Mathematics, PyTorch, TensorFlow",Associate,9,Transportation,Large(>250),06-12-2024,2024,Smart Analytics
Data Analyst,202119,Executive,Contract,South Korea,Hybrid,"NLP, Python, Spark, TensorFlow",Bachelor,13,Transportation,Large(>250),08-07-2024,2024,Cloud AI Solutions
AI Research Scientist,52293,Executive,Contract,India,Hybrid,"AWS, Docker, Statistics",Associate,10,Real Estate,Mid(50-250),25-05-2024,2024,Quantum Computing Inc
Machine Learning Researcher,127194,Executive,Freelance,France,Fully remote,"PyTorch, Docker, TensorFlow, Deep Learning",Associate,10,Real Estate,Small(<50),05-01-2024,2024,Neural Networks Co
Machine Learning Researcher,133885,Mid,Full-time,United States,Fully remote,"Hadoop, Spark, Tableau",PhD,3,Automotive,Large(>250),28-01-2025,2025,Digital Transformation LLC
AI Software Engineer,134073,Senior,Contract,France,No remote,"Hadoop, MLOps, Linux, Spark",Associate,9,Automotive,Mid(50-250),17-07-2024,2024,Predictive Systems
Data Analyst,128939,Senior,Part-time,Canada,Fully remote,"Data Visualization, Deep Learning, SQL, MLOps, Java",PhD,5,Telecommunications,Large(>250),27-11-2024,2024,DeepTech Ventures
Data Scientist,65196,Mid,Part-time,Ireland,No remote,"GCP, Git, NLP, PyTorch, Statistics",PhD,4,Finance,Small(<50),23-03-2025,2025,Cloud AI Solutions
Deep Learning Engineer,122554,Mid,Freelance,Ireland,Fully remote,"Kubernetes, R, Python, AWS",Associate,2,Real Estate,Large(>250),16-12-2024,2024,DeepTech Ventures
NLP Engineer,72995,Entry,Contract,Netherlands,Fully remote,"Mathematics, R, Python, Docker, PyTorch",Master,1,Consulting,Small(<50),24-07-2024,2024,DeepTech Ventures
AI Architect,36919,Senior,Full-time,India,Fully remote,"Hadoop, Scala, Python, Docker",PhD,9,Real Estate,Mid(50-250),26-01-2025,2025,Smart Analytics
Computer Vision Engineer,111161,Senior,Contract,Japan,Hybrid,"Git, Linux, GCP, AWS, SQL",Bachelor,5,Technology,Small(<50),01-03-2024,2024,AI Innovations
Principal Data Scientist,226559,Executive,Part-time,South Korea,Hybrid,"R, Python, Azure, SQL",PhD,11,Consulting,Large(>250),27-01-2024,2024,Future Systems
AI Product Manager,194134,Executive,Full-time,United States,No remote,"Scala, Docker, Data Visualization, Kubernetes, PyTorch",Bachelor,11,Gaming,Mid(50-250),19-08-2024,2024,DataVision Ltd
Machine Learning Engineer,48340,Entry,Contract,Canada,Fully remote,"PyTorch, R, Data Visualization",Bachelor,0,Finance,Small(<50),06-11-2024,2024,Future Systems
ML Ops Engineer,93478,Mid,Freelance,Sweden,Fully remote,"AWS, SQL, Mathematics",PhD,4,Gaming,Small(<50),25-01-2024,2024,Cognitive Computing
AI Specialist,135053,Senior,Full-time,United Kingdom,No remote,"Azure, Deep Learning, TensorFlow",Bachelor,9,Education,Large(>250),18-04-2024,2024,DataVision Ltd
AI Specialist,118702,Senior,Contract,Australia,Hybrid,"AWS, MLOps, Hadoop, NLP, R",Master,5,Government,Mid(50-250),21-01-2025,2025,Neural Networks Co
Computer Vision Engineer,66189,Entry,Contract,Ireland,No remote,"Scala, Kubernetes, Python",Associate,1,Education,Small(<50),09-02-2024,2024,Quantum Computing Inc
NLP Engineer,135922,Senior,Freelance,Finland,Fully remote,"Hadoop, Statistics, Azure",Bachelor,8,Finance,Mid(50-250),07-03-2024,2024,Autonomous Tech
AI Research Scientist,220929,Senior,Full-time,Denmark,Hybrid,"Linux, Azure, Spark",Master,8,Energy,Large(>250),17-01-2024,2024,Machine Intelligence Group
NLP Engineer,82829,Mid,Full-time,Japan,Fully remote,"Spark, Kubernetes, NLP, Hadoop",Associate,2,Technology,Mid(50-250),05-04-2025,2025,Smart Analytics
NLP Engineer,91897,Mid,Part-time,Australia,Hybrid,"MLOps, PyTorch, TensorFlow",PhD,3,Manufacturing,Small(<50),30-09-2024,2024,DataVision Ltd
Research Scientist,120965,Mid,Part-time,Ireland,Hybrid,"PyTorch, Data Visualization, Kubernetes",Master,4,Media,Large(>250),02-01-2024,2024,Advanced Robotics
Machine Learning Engineer,310818,Executive,Part-time,Switzerland,Fully remote,"SQL, Python, MLOps, Java, Mathematics",Bachelor,18,Technology,Small(<50),27-01-2025,2025,Smart Analytics
Deep Learning Engineer,73677,Entry,Freelance,Austria,Hybrid,"SQL, Git, Linux, AWS",Bachelor,0,Technology,Large(>250),30-07-2024,2024,Quantum Computing Inc
Principal Data Scientist,71156,Entry,Contract,United States,No remote,"Azure, Mathematics, Kubernetes, Deep Learning, Data Visualization",Associate,0,Government,Large(>250),17-02-2024,2024,Digital Transformation LLC
AI Software Engineer,190140,Executive,Part-time,Germany,Fully remote,"MLOps, Data Visualization, Python, TensorFlow, Deep Learning",Master,17,Real Estate,Mid(50-250),04-07-2024,2024,Future Systems
ML Ops Engineer,133027,Senior,Full-time,Austria,Hybrid,"Spark, Linux, Java, PyTorch",Master,5,Telecommunications,Large(>250),09-08-2024,2024,Smart Analytics
Research Scientist,232210,Executive,Part-time,South Korea,Hybrid,"Scala, PyTorch, AWS, Spark, SQL",Master,15,Consulting,Large(>250),07-08-2024,2024,Cognitive Computing
Data Analyst,113916,Senior,Full-time,United Kingdom,Fully remote,"Scala, Deep Learning, Hadoop, R, AWS",Associate,8,Energy,Small(<50),12-05-2024,2024,AI Innovations
Head of AI,228576,Executive,Part-time,Singapore,No remote,"GCP, Java, SQL, Git",Associate,13,Education,Mid(50-250),25-07-2024,2024,Smart Analytics
Machine Learning Researcher,25011,Entry,Contract,China,No remote,"SQL, Linux, Hadoop, Mathematics",PhD,1,Manufacturing,Mid(50-250),01-09-2024,2024,Algorithmic Solutions
AI Product Manager,139200,Senior,Part-time,Sweden,No remote,"Git, Azure, Tableau, MLOps",Master,5,Energy,Mid(50-250),31-05-2024,2024,Machine Intelligence Group
Computer Vision Engineer,292522,Executive,Freelance,Switzerland,No remote,"R, Java, Tableau, MLOps",Associate,15,Consulting,Small(<50),01-01-2024,2024,Machine Intelligence Group
AI Specialist,159257,Senior,Freelance,Denmark,Fully remote,"R, TensorFlow, Data Visualization, Tableau, NLP",PhD,5,Healthcare,Large(>250),03-10-2024,2024,Quantum Computing Inc
AI Research Scientist,108189,Senior,Part-time,Israel,Fully remote,"Python, TensorFlow, Azure, GCP, Scala",Master,5,Media,Small(<50),26-02-2025,2025,Neural Networks Co
Robotics Engineer,112943,Senior,Contract,Sweden,Fully remote,"SQL, Statistics, Tableau",Master,7,Media,Mid(50-250),16-01-2024,2024,AI Innovations
Data Engineer,101976,Mid,Contract,Singapore,Hybrid,"Python, Computer Vision, Git",Master,2,Technology,Mid(50-250),24-08-2024,2024,Machine Intelligence Group
Principal Data Scientist,90165,Entry,Contract,United Kingdom,Fully remote,"GCP, Hadoop, Statistics, Computer Vision",Bachelor,1,Technology,Large(>250),21-05-2024,2024,Cloud AI Solutions
ML Ops Engineer,179183,Executive,Contract,Japan,Fully remote,"Scala, R, Kubernetes, Python, Docker",Master,18,Real Estate,Small(<50),30-05-2024,2024,Digital Transformation LLC
NLP Engineer,113638,Senior,Part-time,Netherlands,Hybrid,"SQL, Python, TensorFlow, Statistics, PyTorch",Bachelor,5,Transportation,Mid(50-250),18-04-2025,2025,Predictive Systems
Data Analyst,50907,Entry,Part-time,Singapore,No remote,"Hadoop, SQL, Statistics",Bachelor,0,Manufacturing,Small(<50),29-03-2025,2025,Smart Analytics
AI Consultant,167654,Executive,Part-time,France,Hybrid,"Kubernetes, Mathematics, Linux, SQL",Bachelor,13,Consulting,Mid(50-250),07-04-2025,2025,DeepTech Ventures
Machine Learning Researcher,119056,Mid,Freelance,Switzerland,Hybrid,"Docker, Python, Tableau",Master,2,Gaming,Small(<50),02-09-2024,2024,Autonomous Tech
Autonomous Systems Engineer,95121,Mid,Part-time,United States,No remote,"Python, TensorFlow, Azure, NLP",PhD,2,Retail,Mid(50-250),26-01-2025,2025,Smart Analytics
AI Architect,111821,Mid,Freelance,Japan,Hybrid,"Linux, AWS, MLOps, SQL",Master,4,Healthcare,Large(>250),04-03-2024,2024,Cognitive Computing
Principal Data Scientist,183873,Executive,Full-time,United Kingdom,No remote,"PyTorch, Git, Computer Vision, Java, MLOps",Associate,18,Education,Mid(50-250),04-07-2024,2024,AI Innovations
AI Architect,247623,Executive,Freelance,Switzerland,Fully remote,"Java, Statistics, R, SQL, MLOps",PhD,15,Retail,Large(>250),12-12-2024,2024,Future Systems
AI Product Manager,70419,Senior,Freelance,China,No remote,"Hadoop, Scala, Tableau, PyTorch, Mathematics",PhD,5,Manufacturing,Mid(50-250),15-02-2024,2024,Advanced Robotics
AI Architect,80822,Mid,Contract,Canada,Hybrid,"Kubernetes, Git, Python, Docker",Bachelor,2,Real Estate,Mid(50-250),12-11-2024,2024,DataVision Ltd
AI Research Scientist,116798,Mid,Freelance,United States,Fully remote,"Python, AWS, Tableau, Computer Vision",Associate,2,Media,Large(>250),08-09-2024,2024,Advanced Robotics
AI Consultant,32773,Entry,Part-time,India,Hybrid,"Python, MLOps, R, Java",Master,1,Transportation,Large(>250),20-11-2024,2024,Machine Intelligence Group
AI Research Scientist,153325,Executive,Part-time,Australia,Fully remote,"Kubernetes, Deep Learning, Scala, Linux",Bachelor,18,Energy,Small(<50),30-04-2025,2025,DeepTech Ventures
AI Consultant,139637,Senior,Freelance,Germany,No remote,"AWS, Hadoop, MLOps",Associate,9,Retail,Large(>250),20-03-2025,2025,Neural Networks Co
AI Product Manager,228479,Senior,Full-time,Switzerland,No remote,"Git, Linux, Spark, Python, GCP",Bachelor,6,Real Estate,Large(>250),24-04-2025,2025,DeepTech Ventures
Data Analyst,213432,Executive,Freelance,Denmark,No remote,"Kubernetes, NLP, Azure",PhD,14,Automotive,Small(<50),14-11-2024,2024,TechCorp Inc
Data Scientist,120417,Senior,Freelance,Norway,Hybrid,"Python, TensorFlow, GCP, Statistics",Master,7,Real Estate,Small(<50),01-09-2024,2024,Autonomous Tech
Computer Vision Engineer,128062,Mid,Freelance,Denmark,Hybrid,"R, Spark, Statistics, Deep Learning",Master,3,Transportation,Small(<50),19-07-2024,2024,Quantum Computing Inc
AI Product Manager,152788,Senior,Full-time,France,Fully remote,"Statistics, Deep Learning, Java, Docker",Associate,8,Gaming,Large(>250),17-08-2024,2024,Smart Analytics
Data Engineer,151742,Executive,Part-time,France,No remote,"TensorFlow, Python, NLP",Bachelor,19,Gaming,Large(>250),28-06-2024,2024,DeepTech Ventures
Robotics Engineer,127281,Senior,Freelance,South Korea,Fully remote,"Deep Learning, Kubernetes, Linux, Mathematics, Hadoop",PhD,8,Gaming,Large(>250),15-12-2024,2024,Future Systems
Autonomous Systems Engineer,95779,Mid,Part-time,Canada,Hybrid,"Python, Computer Vision, SQL",Associate,2,Real Estate,Mid(50-250),07-01-2025,2025,Future Systems
AI Software Engineer,127704,Senior,Contract,Australia,No remote,"SQL, Python, Git, Statistics, MLOps",Associate,5,Automotive,Large(>250),22-01-2024,2024,TechCorp Inc
